TransactionID,CardNumber,Merchant,Amount,PurchaseDatetime,CardIssuer
751133,348-14-6088,Biolife Grup,9849.265683,2021-04-12 15:32:22Z,Bank of America
268445,285-83-6186,Facebook,2502.65753,2021-09-05 04:27:34Z,Visa
748511,811-84-3310,Comodo,6406.732352,2021-01-04 05:00:18Z,Chase
777162,773-80-8680,Demaco,12698.28751,2021-07-17 18:34:49Z,American Express
523244,171-24-1530,Erickson,13496.90367,2021-06-11 15:34:42Z,Chase
976171,110-44-7471,CarMax,5193.496,2021-02-06 04:47:31Z,Citibank
870688,425-86-2712,Telekom,18675.95245,2021-06-26 01:12:36Z,Wells Fargo
506821,830-04-7362,Areon Impex,3389.492109,2021-01-26 02:37:42Z,MasterCard
435827,564-28-0407,Facebook,5655.183243,2021-03-13 12:40:20Z,Citibank
610627,077-14-3850,Demaco,10793.82236,2021-03-22 22:50:49Z,Discover
579725,748-68-5701,Amazon.com,13233.63714,2021-07-19 17:02:03Z,Chase
669062,031-57-1657,Apple Inc.,7150.292179,2021-03-23 10:44:09Z,Bank of America
621798,142-35-0766,CarMax,15680.78961,2021-07-14 06:24:13Z,Wells Fargo
248053,145-28-6565,Metro Cash&Carry,12079.20944,2021-08-07 14:53:27Z,Maestro
856481,112-63-6481,AECOM,11097.09339,2021-08-05 02:58:35Z,Chase
323471,853-42-5384,BuzzFeed,2025.141601,2021-08-09 07:19:34Z,Wells Fargo
729559,832-23-2782,Vodafone,10775.49739,2021-02-25 06:04:38Z,Capital One
946758,702-72-3427,Mars,12640.23203,2021-07-08 06:33:17Z,Wells Fargo
613895,010-51-1700,BuzzFeed,13499.82063,2021-01-16 05:00:23Z,UnionPay
875775,355-41-2463,Biolife Grup,9494.247664,2021-08-21 21:43:29Z,American Express
563482,725-05-6638,ExxonMobil,13943.40427,2021-02-24 08:33:41Z,Bank of America
539991,105-78-4218,It Smart Group,18948.7418,2021-01-20 12:47:29Z,Wells Fargo
785412,043-88-2028,Leadertech Consulting,7833.11404,2021-06-17 05:05:14Z,Capital One
612518,865-72-7506,BuzzFeed,13807.14078,2021-05-31 16:52:48Z,Chase
718044,565-50-8781,Team Guard SRL,9331.71705,2021-06-10 19:12:13Z,Visa
898324,358-87-6367,ENEL,18626.66669,2021-02-26 19:39:24Z,Citibank
798592,778-08-5267,It Smart Group,4455.862989,2021-08-19 08:35:58Z,Chase
551902,322-56-6040,Demaco,19327.60919,2021-01-14 05:45:25Z,American Express
167198,417-50-2805,It Smart Group,10501.55479,2021-01-18 05:17:09Z,Chase
159488,478-77-0168,Comodo,2026.987696,2021-01-25 11:56:30Z,American Express
184191,057-47-0307,CarMax,10340.73835,2021-03-21 20:39:41Z,Visa
449761,731-01-3327,CarMax,1025.037086,2021-05-29 12:46:11Z,Discover
776734,084-76-7037,Demaco,14697.204,2021-03-23 09:21:33Z,Visa
234492,667-88-5438,Comodo,7699.97052,2021-08-25 02:09:53Z,Capital One
527395,775-26-1206,UPC,13420.65049,2021-06-17 00:23:37Z,Wells Fargo
993840,723-13-7731,ExxonMobil,13004.61393,2021-01-09 09:06:52Z,Discover
896665,377-16-0536,BuzzFeed,7675.360245,2021-05-21 07:35:10Z,MasterCard
523295,588-25-0202,Amazon.com,9172.254478,2021-05-15 18:16:30Z,Chase
821061,573-50-0347,Demaco,4349.341446,2021-01-05 19:09:37Z,Bank of America
323634,801-64-4471,It Smart Group,6684.597252,2021-01-19 00:43:46Z,Wells Fargo
388107,354-16-2062,BuzzFeed,17819.59817,2021-01-25 20:54:02Z,Chase
522436,837-86-6353,21st Century Fox,9999.174804,2021-06-01 05:21:49Z,UnionPay
950761,471-02-2438,Erickson,949.4328596,2021-06-17 00:24:15Z,UnionPay
965705,745-84-5503,It Smart Group,5245.665846,2021-03-02 06:10:57Z,Chase
844857,542-35-2342,Erickson,11410.46304,2021-07-08 07:29:23Z,MasterCard
659326,161-78-0226,Vodafone,1468.781351,2021-03-04 15:24:34Z,UnionPay
507492,100-74-7353,Amazon.com,7751.914556,2021-02-10 19:03:32Z,Maestro
262376,821-51-0773,Mars,1140.876981,2021-01-14 03:39:03Z,MasterCard
946887,500-88-5554,Carrefour,1256.226621,2021-07-01 15:42:13Z,American Express
389060,362-64-7780,Telekom,17488.21668,2021-03-01 02:38:06Z,Chase
236726,671-68-5564,Comcast,489.3634733,2021-02-07 18:42:20Z,MasterCard
172841,060-11-2111,Telekom,16725.95334,2021-05-24 14:03:33Z,Wells Fargo
581671,682-81-7633,ENEL,10221.05138,2021-05-03 20:51:33Z,Citibank
311792,710-87-8515,Mars,15862.40514,2021-03-15 13:18:11Z,MasterCard
383688,804-18-1012,Danone,3399.94769,2021-01-22 00:33:49Z,Discover
135672,117-77-0065,Amazon.com,3097.93764,2021-07-04 06:37:32Z,UnionPay
586169,624-13-0454,BuzzFeed,13188.79002,2021-07-30 10:46:15Z,MasterCard
657185,328-13-7268,Coca-Cola Company,7347.870546,2021-03-20 12:20:01Z,UnionPay
578878,461-25-2550,Amazon.com,1681.689288,2021-02-05 10:06:00Z,MasterCard
