TransactionID,SenderAccountNumber,ReceiverAccountNumber,Amount,TransferDatetime
287062,650-63-6154,430-04-5447,8584.094218,2021-02-21 16:21:49Z
377610,875-13-4278,650-63-6154,193772.0259,2021-04-21 03:09:06Z
513428,566-83-8044,875-13-4278,138147.425,2021-05-21 22:03:26Z
571917,532-16-1750,566-83-8044,92918.53787,2021-07-22 14:35:48Z
418959,683-00-5812,532-16-1750,83355.47712,2021-02-03 07:53:22Z
226117,060-21-3317,683-00-5812,156637.1547,2021-02-26 02:03:07Z
794690,611-71-0203,060-21-3317,33307.38709,2021-08-26 07:19:39Z
545007,820-62-2326,611-71-0203,182842.6328,2021-08-10 08:57:43Z
865016,402-45-6427,820-62-2326,71638.94337,2021-06-07 05:12:58Z
829154,827-22-6062,402-45-6427,133408.4168,2021-03-23 19:12:00Z
866605,624-06-2107,827-22-6062,91611.11143,2021-03-28 20:38:32Z
609209,534-06-7335,624-06-2107,147680.5074,2021-01-17 16:09:21Z
180479,246-87-3132,534-06-7335,180850.4254,2021-05-07 06:20:46Z
767265,434-24-5776,246-87-3132,80728.00387,2021-05-02 04:20:31Z
534837,062-18-1716,434-24-5776,85703.1753,2021-05-06 08:34:55Z
354230,762-54-2442,062-18-1716,199820.6956,2021-03-22 16:37:24Z
136357,174-15-3773,762-54-2442,79546.64134,2021-05-10 10:56:34Z
239973,305-46-6381,174-15-3773,15005.57537,2021-08-25 09:27:55Z
267488,736-31-5657,305-46-6381,88033.75021,2021-06-15 09:52:50Z
215670,745-50-1433,736-31-5657,108816.782,2021-03-10 01:53:16Z
638888,830-52-1651,745-50-1433,122838.0373,2021-08-18 18:10:19Z
836020,338-58-3601,830-52-1651,18177.60913,2021-04-22 04:48:03Z
607581,248-16-4677,338-58-3601,37944.92263,2021-06-23 03:27:00Z
695063,228-00-7826,248-16-4677,32291.73592,2021-03-24 08:17:15Z
147636,576-22-2236,228-00-7826,125604.576,2021-08-13 11:09:57Z
236089,025-44-7058,576-22-2236,62475.33129,2021-01-18 19:03:42Z
665319,236-84-3454,025-44-7058,41184.80102,2021-09-01 14:10:00Z
924339,600-23-4656,236-84-3454,128576.1417,2021-04-05 08:32:46Z
874687,871-10-4712,600-23-4656,96855.16601,2021-07-01 16:46:27Z
381640,785-65-8200,871-10-4712,179992.4007,2021-02-17 10:16:39Z
696180,048-82-5416,785-65-8200,3683.476098,2021-03-26 00:23:40Z
247519,483-67-1026,048-82-5416,168767.2841,2021-02-14 06:07:27Z
312163,525-77-1330,483-67-1026,76822.21246,2021-01-12 18:34:35Z
759424,045-61-4184,525-77-1330,35783.29479,2021-08-10 09:32:44Z
935544,050-61-7466,045-61-4184,65780.2606,2021-04-21 07:42:10Z
612192,855-21-8447,050-61-7466,29874.54869,2021-06-03 17:30:05Z
461396,886-51-1363,855-21-8447,140865.3873,2021-04-16 06:51:19Z
165298,088-56-6634,886-51-1363,152565.6187,2021-08-24 21:33:35Z
394440,883-66-3870,088-56-6634,47729.26797,2021-01-04 21:31:50Z
